58|1|438|0.1|0.8|1.0
259|1|230|0.1|0.8|1.0
274|1|665|0.2|0.8|1.0
1108|1|222|0.1|0.8|1.1
56|1|149|0.0|0.8|1.0
823|1|327|0.1|0.8|1.0
326|1|512|0.2|0.8|1.0
2292|1|202|0.1|0.9|1.2
1150|1|327|0.1|0.8|1.0
961|1|148|0.0|0.8|1.1
25|1|148|0.0|0.9|1.2
649|1|228|0.1|0.8|1.0
764|1|245|0.1|0.8|1.1
335|1|157|0.1|0.8|1.1
1304|1|155|0.1|0.9|1.1
297|1|214|0.1|0.8|1.0
144|1|159|0.1|0.8|1.0
73|1|153|0.1|0.8|1.1
435|1|151|0.0|0.9|1.1
326 274|1|161|0.1|0.8|1.0
58 274|1|170|0.1|0.8|1.1
326 58|1|143|0.0|0.9|1.2
1285 274|1|158|0.1|0.8|1.0
