1|2300|0.753
14|231|0.076
15|524|0.171
25|168|0.055
56|192|0.063
58|563|0.184
73|188|0.062
99|431|0.141
142|151|0.049
144|203|0.066
168|161|0.053
179|159|0.052
227|370|0.121
254|170|0.056
259|297|0.097
274|886|0.290
281|272|0.089
297|281|0.092
326|654|0.214
334|175|0.057
335|192|0.063
346|157|0.051
348|344|0.113
357|186|0.061
372|171|0.056
379|146|0.048
411|246|0.080
429|220|0.072
430|151|0.049
435|176|0.058
436|152|0.050
465|253|0.083
474|140|0.046
528|158|0.052
534|210|0.069
543|184|0.060
544|171|0.056
649|301|0.098
764|305|0.100
823|428|0.140
961|182|0.060
971|311|0.102
1048|170|0.056
1055|230|0.075
1086|162|0.053
1108|264|0.086
1124|141|0.046
1150|430|0.141
1271|223|0.073
1285|428|0.140
1304|181|0.059
1342|168|0.055
1749|314|0.103
2123|153|0.050
2292|233|0.076
1 429|156|0.051
1 99|321|0.105
1 348|248|0.081
971 1|228|0.075
73 1|153|0.050
227 274|149|0.049
25 1|148|0.048
764 1|245|0.080
823 274|145|0.047
14 1|171|0.056
297 1|214|0.070
58 274|213|0.070
1285 274|210|0.069
1 274|665|0.218
1 15|388|0.127
1 961|148|0.048
1 1150|327|0.107
15 1150|143|0.047
326 274|206|0.067
1285 58|143|0.047
1055 1|154|0.050
1 823|327|0.107
144 1|159|0.052
1 326|512|0.168
1 2292|202|0.066
649 1|228|0.075
1 1304|155|0.051
1285 1|320|0.105
1 281|195|0.064
1 411|170|0.056
1 1749|235|0.077
1 335|157|0.051
465 1|185|0.061
58 326|159|0.052
259 1|230|0.075
1271 1|146|0.048
56 1|149|0.049
274 99|144|0.047
534 1|140|0.046
1108 1|222|0.073
435 1|151|0.049
58 1|438|0.143
58 326 1|143|0.047
326 1 274|161|0.053
1285 1 274|158|0.052
58 1 274|170|0.056
